bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	
1120	14	1	4	313	1447263	3167787	103477	6797	721301	46855	26714	525213	713	2466	519710	42424	23786	504419	614	
1120	14	2	4	236	1504876	3604555	99876	9922	929485	68953	62627	722921	926	3697	690870	76292	74042	613346	7116	
1120	14	3	4	296	2130778	4124105	110676	14864	671799	46938	115808	522781	23553	12682	430116	63506	85716	488034	26801	
1120	14	4	4	380	2345938	7694094	375335	16678	1497511	70142	204498	1349271	38997	13349	1774988	97980	208041	1248202	43987	
1120	14	5	4	390	7624081	6959224	160977	196513	893137	853281	113751	540295	442529	117951	497941	308852	103407	618571	894560	
1120	14	6	4	323	2704311	4792955	124810	253488	1042679	971442	218103	1288650	1192243	222689	937485	1432498	193258	2497904	1670613	
1120	14	7	4	304	3033460	4007571	100522	209183	947207	852818	192563	755422	996902	205221	827434	888228	199067	762089	1145286	
1120	14	8	4	342	3192156	6168546	119644	290734	1166277	926190	168006	637541	431816	149797	753062	906148	143065	705431	469285	
1120	14	9	4	480	2899128	3922943	112476	307401	945364	1820660	340684	1011988	1272849	258929	1173940	912348	252161	652881	937086	
1120	14	10	4	320	3125562	3250482	105343	303184	1136237	1029682	295473	812453	1131957	249552	789162	783449	528322	1449287	688492	
1200	15	1	4	282	1444870	4835497	2043145	10951	1999826	122417	43231	841282	1862	5541	740257	81012	42750	691147	1091	
1200	15	2	4	718	1675462	4158403	106908	34641	885455	95277	70543	671272	1692	8998	719841	184257	68514	652681	76667	
1200	15	3	4	454	1651259	3283744	129259	12238	834501	79628	100814	585249	1208	12173	553243	154251	96623	557898	107401	
1200	15	4	4	326	2070239	8662642	112016	34993	788276	156676	213015	717102	94610	10574	637593	46712	156916	626557	1310	
1200	15	5	4	439	2535310	4694700	140274	431513	1311631	1938635	197253	944313	1239289	206002	1183178	1307180	203520	9222932	1222144	
1200	15	6	4	381	2254439	3350421	87805	214354	845178	980343	193088	1320058	1372350	233556	947158	1154738	208178	941243	1285887	
1200	15	7	4	298	2995284	4112327	162488	260377	966730	1297204	251707	904874	1447444	215242	875218	1065350	210821	897169	1400042	
1200	15	8	4	314	3174541	4001072	81016	322928	1012320	1080238	318235	959417	1034224	275223	898047	963298	240163	914224	1228808	
1200	15	9	4	272	3238340	3941485	144259	280305	993613	1329875	274449	1045931	2179006	300757	1049243	1287639	293824	8876614	1238684	
1200	15	10	4	315	3612636	4462691	1190102	1063308	1267482	897259	350214	1238008	1189146	381139	1093354	1311356	339564	1017383	1330729	
1280	16	1	4	366	1788486	4869915	223476	7372	848304	76395	46598	806804	1528	6478	548846	65976	34854	565069	1774	
1280	16	2	4	326	2651162	3499914	175320	8358	722870	97448	119046	1677326	56564	11886	2037317	107725	73473	1718005	50736	
1280	16	3	4	598	5658038	9283647	183303	21870	1075822	205431	149674	784077	44539	10473	644938	72436	115670	490750	18842	
1280	16	4	4	214	2380685	2987052	131434	22818	910724	209482	192474	812788	91456	12135	680597	61711	109940	423273	33158	
1280	16	5	4	532	2705331	4027779	134458	217132	1258132	1326377	201862	961231	1474227	205513	6014319	1357164	233822	1044248	1579342	
1280	16	6	4	674	2679728	5013925	1164304	221520	3213441	1788637	243049	819176	630151	184649	596719	540807	151308	682000	1034056	
1280	16	7	4	493	2151070	3894030	131749	265954	987537	1575715	265904	1006772	2012409	230372	1897218	1022278	215689	5011719	1372436	
1280	16	8	4	425	3425774	8769696	78305	340824	1080659	1618860	283758	886813	1604699	288233	804382	926924	274167	696921	972231	
1280	16	9	4	9056	3215873	7922798	279199	406616	1076065	1506685	392593	1095424	1456460	406185	1043207	1094008	327523	848617	1393916	
1280	16	10	4	320	4046832	4186460	121707	329526	2104254	1332256	309478	3540391	1726214	379362	3295680	1575983	339375	1102234	1794200	
1360	17	1	4	581	1479033	3984292	158979	7190	775694	61816	36945	700139	1237	4618	670509	75072	30346	530258	736	
1360	17	2	4	261	1530280	8029232	146949	22151	1003793	258164	102730	777256	152847	5554	822436	68204	86731	3976923	1952	
1360	17	3	4	516	4288829	4720711	151418	12231	877826	181283	132445	791936	86148	7630	837214	99785	129540	796165	1585	
1360	17	4	4	705	2945782	8484040	164607	23520	1127066	170266	233116	986805	62743	15989	946080	200463	219830	774949	103122	
1360	17	5	4	379	3284661	4391314	166814	264924	1087602	1690361	239747	884203	2017038	584488	3169065	1810710	313589	3834230	2255172	
1360	17	6	4	279	6497659	4972005	170193	279262	1141213	1594536	268945	963164	1649056	254123	931022	1653830	238523	1106855	1931373	
1360	17	7	4	347	3383652	4083509	92280	194051	742908	1407595	274097	1210658	1362110	324792	1135834	1219824	310760	6677154	3212989	
1360	17	8	4	272	4062304	3952857	121108	328456	1161554	1129372	315868	937179	1441017	321838	1036895	1170376	186941	589373	779173	
1360	17	9	4	351	5230783	8376515	173389	398359	1065842	980881	332273	1022307	1646219	340777	1121325	1879541	371187	1161701	2082284	
1360	17	10	4	816	4969277	8633681	169813	507165	943903	694205	251604	840552	846951	269187	644080	690263	244494	913868	867051	
1440	18	1	4	492	1599619	4723379	138103	7470	1010496	127335	37531	657683	680	3402	465768	48205	20594	423671	491	
1440	18	2	4	373	1981469	4931237	164409	12420	1138264	149364	94428	851577	50506	19711	886265	161556	50589	501197	114413	
1440	18	3	4	344	2267941	10267972	125630	10372	1137485	116746	156662	1133495	1792	29596	2378904	226034	139438	5068484	103119	
