bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
372	6	8	0	100	174122	228722	10084	44185	141886	12210	7937	93998	1044	25744	137476	15987	10134	86871	835	1853	108857	10722	5894	73632	702	1356	81766	11312	5333	68147	675	1184	77559	11117	8466	89722	986	
372	6	9	0	69	114219	206344	6549	2306	92795	10976	7210	83444	736	1481	84747	10988	5973	76011	672	1535	89402	10234	3334	58381	504	1078	86692	10568	7401	61800	495	1000	77015	6865	4701	58409	554	
372	6	10	0	69	116081	164415	11893	4463	166939	17649	9610	130437	1199	2571	104474	6225	5213	48501	377	1234	84134	11743	5490	74416	800	1624	83509	10094	8518	74741	722	1615	91424	10836	5379	63032	524	
434	7	1	0	120	312544	350776	13550	4535	146257	8140	10667	82023	570	1490	111916	11728	7742	107161	761	1770	120572	11601	10524	77889	541	1234	77742	6341	7497	69673	429	1014	77001	7227	4840	64456	459	
434	7	2	0	77	139076	182192	7085	1744	84993	6546	5540	71086	419	1061	130600	13262	11051	99087	647	1695	100884	7055	6996	79365	484	1109	91139	7695	4127	78721	493	1158	141087	13459	7816	121531	963	
434	7	3	0	150	146938	221924	12344	2919	135881	7831	5675	80435	18553	1469	99027	7321	6422	76545	774	1586	127598	13111	6158	83588	584	1323	118264	7311	6027	77253	558	1221	108509	7872	4785	101246	978	
434	7	4	0	132	141610	184243	7685	2151	168635	12438	7823	108184	745	1755	153169	13307	6755	165503	1118	2643	130141	14109	10779	124991	1044	2224	137355	13918	9040	125881	904	2008	136035	15666	19629	123324	1144	
434	7	5	0	93	184980	256174	11990	2792	137543	12930	9973	114870	778	1722	132508	8027	20539	124458	1061	2194	117754	12478	8129	103513	757	1545	96116	7046	6433	176919	1317	2844	139587	7645	5988	91945	739	
434	7	6	0	63	135916	227381	7616	2183	113719	7506	6082	88682	581	1290	91991	8226	5714	145529	936	1964	123137	14036	7437	117884	845	1997	125867	10107	5857	162277	1138	2284	131643	7618	8683	82177	637	
434	7	7	0	67	128216	186606	7979	2069	122427	7508	6636	87184	572	1456	94037	8140	6083	81027	488	1325	166523	14690	11405	135989	893	1981	129248	12525	7820	120477	916	1816	157897	14592	8469	125794	987	
