size	variability	time
1922	2	840.005774
1953	2	852.935463
1984	2	883.127152
2015	2	911.138713
2046	2	951.994872
2077	2	1025.588318
2108	2	1014.04915
2139	2	1060.301583
2170	2	1079.733782
2201	2	1111.310102
2232	2	1138.517538
2263	2	1178.346733
2294	2	1204.495799
2325	2	1247.105064
2356	2	1273.995966
2387	2	1318.992996
2418	2	1327.771276
2449	2	1377.039551
2480	2	1421.387208
2511	2	1466.385779
2542	2	1495.192996
2573	2	1504.751798
2604	2	1531.735856
2635	2	1590.905967
2666	2	1739.130088
2697	2	1654.876937
2728	2	1693.79348
2759	2	1722.622563
2790	2	1795.567539
2821	2	1832.981506
2852	2	1848.843043
2883	2	1959.891559
2914	2	1961.318236
2945	2	2007.350258
2976	2	1994.327619
3007	2	2029.540008
3038	2	2067.095151
3069	2	2121.746646
3100	2	2193.584508
0	2	0.019499
31	2	0.270894
62	2	0.785182
93	2	1.579765
124	2	2.776338
155	2	4.150207
186	2	5.977966
217	2	8.093819
248	2	10.390268
279	2	13.4291
310	2	16.490133
341	2	19.982755
372	2	26.177019
403	2	28.015578
434	2	33.052169
465	2	40.664702
496	2	44.99261
527	2	53.829723
558	2	58.205131
589	2	63.700819
620	2	71.409561
651	2	79.117405
682	2	87.759032
713	2	96.325968
744	2	105.699291
775	2	113.263254
806	2	128.805661
837	2	136.484832
868	2	158.473626
899	2	166.154823
930	2	178.391335
961	2	193.690097
992	2	201.529807
1023	2	219.380849
1054	2	230.021345
1085	2	247.878208
1116	2	257.256652
1147	2	273.364588
1178	2	300.749258
1209	2	304.729029
1240	2	320.538625
1271	2	338.414519
1302	2	350.539805
1333	2	372.758781
1364	2	391.592017
1395	2	405.30116
1426	2	464.318948
1457	2	441.918583
1488	2	463.228294
1519	2	487.320413
1550	2	500.432163
1581	2	534.334643
1612	2	554.803592
1643	2	586.431977
1674	2	611.924756
1705	2	622.654863
1736	2	656.661544
1767	2	684.819006
1798	2	717.819072
1829	2	742.968118
1860	2	765.653608
1891	2	805.82777
1922	2	820.390748
1953	2	857.21579
1984	2	887.573578
2015	2	910.244999
2046	2	938.905142
2077	2	982.971311
2108	2	1071.743869
2139	2	1045.089124
2170	2	1072.161051
2201	2	1109.496615
2232	2	1139.315078
2263	2	1196.482255
2294	2	1206.45497
2325	2	1230.043033
2356	2	1260.908833
2387	2	1318.85419
2418	2	1328.978386
2449	2	1377.389008
2480	2	1415.767474
2511	2	1450.385214
2542	2	1447.553974
2573	2	1511.340818
2604	2	1535.881264
2635	2	1627.825754
2666	2	1647.245651
2697	2	1662.855094
2728	2	1708.961893
2759	2	1724.259005
2790	2	1756.452155
2821	2	1789.3395
2852	2	1852.095823
2883	2	1873.460133
2914	2	1928.396065
2945	2	1965.82811
2976	2	2010.760021
3007	2	2035.518311
3038	2	2085.215312
3069	2	2101.59551
3100	2	2175.545095
0	2	0.0213
31	2	0.316898
62	2	0.805494
93	2	1.558988
124	2	2.68048
155	2	4.379668
186	2	5.766557
217	2	8.188339
248	2	11.227217
279	2	13.269901
310	2	16.524778
341	2	20.036352
372	2	31.551969
