scenario	time	
s7	214840	
s1	303050	
s2	244434	
s3	257233	
s4	49050188	
s5	132163	
s6	102836	
s7	111241	
s1	49558850	
s2	193976	
s3	200419	
s4	249638	
s5	200732	
s6	49759575	
s7	211633	
s1	250349	
s2	161950	
s3	136913	
s4	148560	
s5	207530	
s6	100944	
s7	239117	
s1	153852	
s2	50977237	
s3	144030	
s4	194936	
s5	147962	
s6	80508	
s7	50525594	
s1	176524	
s2	131633	
s3	249310	
s4	249442	
s5	128210	
s6	78805	
s7	106255	
s1	171019	
s2	221654	
s3	50286278	
s4	136644	
s5	127337	
s6	152411	
s7	111617	
s1	49642443	
s2	251018	
s3	230685	
s4	241975	
s5	50390426	
s6	103500	
s7	112665	
s1	163464	
s2	216639	
s3	49651279	
s4	142881	
s5	134665	
s6	102938	
s7	109650	
s1	234481	
s2	152069	
s3	167137	
s4	154909	
s5	125975	
s6	154276	
s7	143506	
s1	141675	
s2	248794	
s3	219329	
s4	48617503	
s5	230601	
s6	123996	
s7	268087	
s1	208837	
s2	49641821	
s3	154750	
s4	127514	
s5	173041	
s6	85409	
s7	211345	
s1	280799	
s2	277034	
s3	50202160	
s4	131340	
s5	125962	
s6	198239	
s7	203057	
