bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
2232	36	2	5	130	917467	1287746	32260	8717	456314	131910	65088	384028	99291	2322	540632	68309	59963	410049	608	3170	579355	77959	85614	603542	1226	4569	511505	132493	98974	510122	1402	7406	458013	75549	75283	423128	30898	
2294	37	2	5	93	1135840	1517993	38644	11138	774212	154310	108062	481480	103544	5240	484466	78038	74437	461750	30308	4611	412208	73629	124180	729609	32058	7464	625253	241221	119249	725847	87942	8292	633381	198279	99400	694087	143505	
2356	38	2	5	120	1262310	1480538	89429	18649	812425	122974	126703	788103	53226	6026	528680	57150	99849	539231	942	3913	449072	52279	119805	540909	921	5684	525739	204123	129601	767181	152062	5520	587795	57249	97859	677253	1293	
2418	39	2	5	114	1529539	1401138	50972	5605	844264	87134	105580	722232	1342	6331	843761	149828	120894	721039	1169	8730	696579	122013	109325	680964	115718	6559	621754	56210	114113	482382	7136	9330	437854	84569	66757	430756	31640	
2480	40	2	5	102	1107434	1042151	37353	4806	475602	88610	69484	599613	33570	4934	459759	49546	76998	427645	538	3999	435801	103400	65511	627421	65108	4545	487330	56674	76067	432870	518	2464	435340	54565	71690	431434	516	
2542	41	2	5	89	984702	1021766	37209	8680	513978	148002	73792	470229	94554	2331	469087	59539	85338	448200	557	3411	453264	61562	87343	591190	742	7771	479638	162655	75532	458949	124165	4073	458496	108648	76961	458516	64432	
2604	42	2	5	101	1016169	1081008	40021	4932	514404	87194	71650	462843	33910	5274	469545	139419	81385	632327	98041	5891	477668	89643	80185	455344	33578	4296	456616	176751	76428	465835	132334	2463	467985	52319	60933	423116	444	
2666	43	2	5	86	939543	1236976	37801	5371	625352	60088	99528	588970	1042	9075	565578	200984	119178	619652	130742	4989	482040	55947	66985	431038	678	2415	473553	62892	59504	436479	492	2641	477100	104948	115874	581229	922	
2728	44	2	5	84	1460624	1604581	46041	7991	677106	65188	85063	491549	495	7157	550022	183217	113529	546685	138302	9573	478708	197476	93135	544367	152202	3994	529213	69617	78131	481816	513	1826	634490	61181	82188	472642	631	
2790	45	2	5	87	1312944	1355001	48426	6882	618981	95603	89048	511062	37254	5035	523176	120884	85738	484925	69442	2889	549483	68962	110813	516564	646	5858	515170	153805	98232	496966	106105	4649	688668	92478	77053	480614	35756	
2852	46	2	5	98	1108757	1226447	44522	6656	551235	91454	84182	524381	37506	3947	537914	98090	83650	486077	36373	2838	478464	59110	76894	471190	475	2503	484239	94573	70628	474035	36384	2312	481641	63108	102579	578889	1003	
